Username,Date,Comment
n*****e,2023-06-16,"Performance:top notch performance
Quality:Apple quality

Thank you so much for replying to questions quickly. Super fast delivery (within 36 hours after payment made) with amazing courier! Item is delivered with secured packaging! ✨🫶🏻"
faridd74,2023-12-16,"Performance:excellent
Quality:good

Shopee Trusted seller. Highly recommended. Quick response, sincere, honest and kindness. Any inquiry will reply and explanation detail. Fast delivery. Nice packaging. Good quality product. Good value for money. Excellent service by seller."
a*****h,2024-02-25,"Performance:perfect
Quality:perfect

little unboxing video from me 😇 BEST PURCHASE EVER !! ✨✨ i’m obsessed with this ipad the colour is soo chef’s kiss >>> i received it in very good condition with no dent at all thankyouu seller for being responsive as well 🥹🙌🏻 bought 64gb as i only use it for taking notes and netflix and it is more than enough ~~ ☺️☺️"
nini2910,2024-03-26,"Quality:Very Good
Performance:Good

Well packed and received the parcel in good condition. Thank you, seller, for the wrapping since it's a gift for my daughter. Great service by the seller, replying my msg. Great bargain with the voucher discount. Great product indeed."
r*****9,2024-01-04,"Quality:perfect, original
Performance:Awesome, superb

alhamdulillah ipad selamat sampai 🥰👏🏻 parcel dibungkus dengan baik sekali, terima kasih seller!!

fast delivery (order 01/01/2024, sampai 04/01/2024)

beli time sale 01.01.24 jimat RM400 🩵 dah lama nak beli tapi tunggu harga turun hihi"
jaehyukuyu,2023-06-07,"Elok ipad nya. Delivery cepat, package siap kotak bubble wrap 💯💯 Ipad cantik terok, pink watermelon 🥰🍉🩷🩷🫶🏻 senang sikit nak buat design lepasni. Bought this as birthday present for myself, coz if we don’t buy it for ourselves then who will 😇 Saya beli ye Switch"
a*****3,2023-08-03,"Performance:Smooth
Quality:Original

What to say, from original and trusted sellers, of course the quality is great. It’s iPad, from Apple 👍🏻👍🏻 I just ordered yesterday, and it arrived today. First time buying gadget from online platform, they keep it and post it safely"
tengkufaqkaruddin,2023-11-08,"Quality:excellent
Performance:excellent

Just came in today. Nice looking gadget. Got that premium feeling from Apple every time. Not the most powerful Ipad but still the performance is way better than most tablet on the market. Of course when it comes to the higher end ones this one falls behind but not by much."
p*****9,2023-08-16,"Quality:amazing solid hardware, premium look and feel of course, definely authentic as switch are an official distributor
Performance:mantap, sound balance atas bawah, touch ID detects very fast to unlock

nothing to complain as i am normal user only, its my 1st ipad and think is good enough. premium metallic blue, type c charging with given adapter and cable, sound is damn amazing! especially watch any clip that supports dolby atmos. thinks its best for student or ppl who not into anything deep editing or such. rekemended! ppl say ipad air is lighter but this not as heavy la just nice and grips well on my lady's hand (which is pretty) hehe. more device to grab!"
m*****3,2023-08-17,"Performance:As expected
Quality:Excellent

Order tgh hari Jumaat, tgh hari esoknya dah sampai dirumah. Terima bungkusan dalam keadaan yang sangat baik. Happy to have this Ipad. Tq Switch, tq DHL 👍👍👍"
m*****7,2024-02-29,"Performance:very good
Quality:superb

Really nice. No damage. Everything was good and I like it. So now I can use my new ipad. Recommended store. Affordable price."
